epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
28,14253,1.14849,0.44893,0.00656,0.94226,0.89641,0.95981,0.67353,1.11753,0.48602,0.00787,0.00022062,7.354e-05,0.00022062,7.354e-05,0.00022062,7.354e-05,0.00022062,7.354e-05
29,14755.3,1.15376,0.44621,0.00658,0.94859,0.89352,0.95905,0.67097,1.12129,0.49412,0.00792,0.00021768,7.256e-05,0.00021768,7.256e-05,0.00021768,7.256e-05,0.00021768,7.256e-05
30,15257.8,1.14235,0.44496,0.00657,0.94316,0.89352,0.9546,0.67114,1.11817,0.50221,0.00789,0.00021474,7.158e-05,0.00021474,7.158e-05,0.00021474,7.158e-05,0.00021474,7.158e-05
31,15760.6,1.14103,0.44414,0.0065,0.94733,0.89902,0.96097,0.67221,1.11718,0.48205,0.00788,0.0002118,7.06e-05,0.0002118,7.06e-05,0.0002118,7.06e-05,0.0002118,7.06e-05
32,16262.8,1.14085,0.44453,0.00657,0.94716,0.90255,0.96194,0.67735,1.10982,0.47447,0.00784,0.00020886,6.962e-05,0.00020886,6.962e-05,0.00020886,6.962e-05,0.00020886,6.962e-05
33,16766.2,1.13803,0.44504,0.00651,0.94555,0.8911,0.95545,0.67248,1.11346,0.4888,0.00788,0.00020592,6.864e-05,0.00020592,6.864e-05,0.00020592,6.864e-05,0.00020592,6.864e-05
34,17269,1.13777,0.45089,0.0065,0.95004,0.90026,0.96122,0.6761,1.10899,0.47876,0.0078,0.00020298,6.766e-05,0.00020298,6.766e-05,0.00020298,6.766e-05,0.00020298,6.766e-05
35,17772,1.1436,0.44712,0.00652,0.94911,0.89497,0.96059,0.67634,1.10738,0.48394,0.0078,0.00020004,6.668e-05,0.00020004,6.668e-05,0.00020004,6.668e-05,0.00020004,6.668e-05
36,18274.5,1.13783,0.43578,0.00649,0.94894,0.9022,0.9621,0.67762,1.1032,0.47355,0.00776,0.0001971,6.57e-05,0.0001971,6.57e-05,0.0001971,6.57e-05,0.0001971,6.57e-05
37,18777.2,1.13615,0.44068,0.00646,0.94498,0.90199,0.96007,0.67749,1.10127,0.48339,0.00776,0.00019416,6.472e-05,0.00019416,6.472e-05,0.00019416,6.472e-05,0.00019416,6.472e-05
