epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,639.929,1.29681,0.57625,0.00748,0.94295,0.88388,0.95814,0.61545,1.2758,0.54395,0.00908,2.99801e-05,9.99335e-06,2.99801e-05,9.99335e-06,0.0800433,0.0800233,2.99801e-05,9.99335e-06
2,1182.83,1.25859,0.54142,0.00725,0.93405,0.87517,0.95245,0.64496,1.18356,0.53139,0.00853,5.93922e-05,1.97974e-05,5.93922e-05,1.97974e-05,0.0600727,0.0600331,5.93922e-05,1.97974e-05
3,1705.4,1.25372,0.53234,0.00721,0.94067,0.88039,0.9557,0.6454,1.18509,0.52856,0.00848,8.82164e-05,2.94055e-05,8.82164e-05,2.94055e-05,0.0401015,0.0400427,8.82164e-05,2.94055e-05
4,2217.4,1.24622,0.52445,0.00714,0.93845,0.89195,0.95983,0.64876,1.18348,0.51092,0.00842,0.000116453,3.88175e-05,0.000116453,3.88175e-05,0.0201298,0.0200521,0.000116453,3.88175e-05
5,2722.74,1.2356,0.51661,0.00708,0.94765,0.89653,0.9619,0.65603,1.1673,0.49223,0.00828,0.000144101,4.80336e-05,0.000144101,4.80336e-05,0.000157399,6.13315e-05,0.000144101,4.80336e-05
6,3225.47,1.22839,0.50779,0.00704,0.9495,0.89233,0.96195,0.64817,1.19206,0.49836,0.00843,0.00014265,4.755e-05,0.00014265,4.755e-05,0.00014265,4.755e-05,0.00014265,4.755e-05
7,3728.22,1.22482,0.50682,0.00697,0.93677,0.9012,0.96086,0.65295,1.17499,0.49088,0.00829,0.00014118,4.706e-05,0.00014118,4.706e-05,0.00014118,4.706e-05,0.00014118,4.706e-05
8,4231.08,1.21947,0.50214,0.007,0.94227,0.90099,0.96227,0.64852,1.19127,0.49286,0.00841,0.00013971,4.657e-05,0.00013971,4.657e-05,0.00013971,4.657e-05,0.00013971,4.657e-05
9,4733.8,1.21805,0.49504,0.00697,0.93915,0.89509,0.95904,0.65118,1.179,0.50129,0.00837,0.00013824,4.608e-05,0.00013824,4.608e-05,0.00013824,4.608e-05,0.00013824,4.608e-05
10,5236.3,1.21454,0.49297,0.0069,0.9416,0.90183,0.96293,0.6542,1.17943,0.48422,0.00835,0.00013677,4.559e-05,0.00013677,4.559e-05,0.00013677,4.559e-05,0.00013677,4.559e-05
11,5738.67,1.21315,0.49533,0.00696,0.94305,0.89558,0.96096,0.65731,1.16239,0.49344,0.00822,0.0001353,4.51e-05,0.0001353,4.51e-05,0.0001353,4.51e-05,0.0001353,4.51e-05
12,6241.05,1.21411,0.49173,0.00692,0.94607,0.90437,0.9642,0.64706,1.19802,0.48337,0.00843,0.00013383,4.461e-05,0.00013383,4.461e-05,0.00013383,4.461e-05,0.00013383,4.461e-05
13,6743.57,1.20882,0.48988,0.00693,0.9418,0.90053,0.96258,0.65291,1.17733,0.48628,0.00829,0.00013236,4.412e-05,0.00013236,4.412e-05,0.00013236,4.412e-05,0.00013236,4.412e-05
14,7246.16,1.208,0.48725,0.0069,0.94392,0.90014,0.96336,0.65818,1.16631,0.48184,0.0082,0.00013089,4.363e-05,0.00013089,4.363e-05,0.00013089,4.363e-05,0.00013089,4.363e-05
15,7748.39,1.20405,0.48246,0.00686,0.95103,0.89828,0.96401,0.64964,1.19155,0.48642,0.00839,0.00012942,4.314e-05,0.00012942,4.314e-05,0.00012942,4.314e-05,0.00012942,4.314e-05
