epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,6800.59,1.19017,0.43827,0.00642,0.94781,0.88509,0.94689,0.61912,1.27635,0.54136,0.0092,0.0072691,0.00242303,0.0072691,0.00242303,0.0072691,0.00242303,0.0072691,0.00242303
31,7094.41,1.17958,0.43504,0.00634,0.93539,0.89981,0.9429,0.62256,1.25246,0.52092,0.00898,0.00696114,0.00232038,0.00696114,0.00232038,0.00696114,0.00232038,0.00696114,0.00232038
32,7348.81,1.1726,0.42873,0.0063,0.95005,0.88099,0.93739,0.60462,1.28936,0.55789,0.00927,0.00665318,0.00221773,0.00665318,0.00221773,0.00665318,0.00221773,0.00665318,0.00221773
33,7601.14,1.16568,0.42421,0.00625,0.95196,0.89557,0.95028,0.611,1.27546,0.52909,0.00902,0.00634522,0.00211507,0.00634522,0.00211507,0.00634522,0.00211507,0.00634522,0.00211507
34,7839.4,1.16099,0.43765,0.00625,0.9437,0.88438,0.94358,0.61138,1.27212,0.53836,0.00906,0.00603725,0.00201242,0.00603725,0.00201242,0.00603725,0.00201242,0.00603725,0.00201242
35,8066.7,1.15053,0.41936,0.00618,0.94946,0.90057,0.95296,0.62875,1.22227,0.51616,0.00871,0.00572929,0.00190976,0.00572929,0.00190976,0.00572929,0.00190976,0.00572929,0.00190976
36,8447.92,1.11429,0.3853,0.00622,0.9403,0.89292,0.94818,0.61226,1.27817,0.52543,0.00911,0.00542133,0.00180711,0.00542133,0.00180711,0.00542133,0.00180711,0.00542133,0.00180711
37,8694.58,1.11147,0.38042,0.0062,0.93371,0.88051,0.93338,0.5919,1.32225,0.57227,0.00954,0.00511337,0.00170446,0.00511337,0.00170446,0.00511337,0.00170446,0.00511337,0.00170446
38,8916.1,1.10859,0.38261,0.00619,0.94576,0.87588,0.9343,0.60068,1.2985,0.58723,0.00938,0.00480541,0.0016018,0.00480541,0.0016018,0.00480541,0.0016018,0.00480541,0.0016018
39,9137.23,1.09077,0.37733,0.00608,0.93327,0.88509,0.9368,0.61029,1.27725,0.57391,0.00915,0.00449744,0.00149915,0.00449744,0.00149915,0.00449744,0.00149915,0.00449744,0.00149915
40,9357.78,1.0832,0.3741,0.00601,0.93072,0.86883,0.93457,0.60576,1.28596,0.57514,0.00923,0.00418948,0.00139649,0.00418948,0.00139649,0.00418948,0.00139649,0.00418948,0.00139649
41,9578.68,1.07705,0.36741,0.00604,0.94148,0.87979,0.93798,0.60707,1.28282,0.55027,0.0092,0.00388152,0.00129384,0.00388152,0.00129384,0.00388152,0.00129384,0.00388152,0.00129384
42,9805.48,1.06957,0.36113,0.00593,0.94287,0.88316,0.9393,0.60795,1.27921,0.54417,0.00918,0.00357356,0.00119119,0.00357356,0.00119119,0.00357356,0.00119119,0.00357356,0.00119119
43,10066.1,1.06057,0.35108,0.00585,0.9493,0.88628,0.94116,0.61439,1.25675,0.54071,0.00897,0.0032656,0.00108853,0.0032656,0.00108853,0.0032656,0.00108853,0.0032656,0.00108853
44,10295.8,1.05397,0.35347,0.00586,0.94059,0.88003,0.93763,0.60807,1.27923,0.56195,0.00913,0.00295763,0.000985878,0.00295763,0.000985878,0.00295763,0.000985878,0.00295763,0.000985878
45,10522.6,1.04502,0.35049,0.0058,0.94415,0.89244,0.94757,0.61251,1.27321,0.53749,0.00904,0.00264967,0.000883224,0.00264967,0.000883224,0.00264967,0.000883224,0.00264967,0.000883224
46,10749.2,1.03652,0.34514,0.00575,0.94692,0.88846,0.94135,0.61164,1.26948,0.54454,0.00903,0.00234171,0.00078057,0.00234171,0.00078057,0.00234171,0.00078057,0.00234171,0.00078057
